Year,Number of Missions
1957,1
1958,23
1959,16
1960,30
1961,43
1962,60
1963,17
1964,24
1965,33
1966,47
1967,26
1968,22
1969,17
1970,11
1971,16
1972,17
1973,17
1974,10
1975,15
1976,13
1977,14
1978,21
1979,9
1980,11
1981,13
1982,11
1983,13
1984,17
1985,16
1986,6
1987,6
1988,7
1989,16
1990,26
1991,18
1992,27
1993,24
1994,26
1995,30
1996,33
1997,36
1998,36
1999,31
2000,28
2001,22
2002,17
2003,23
2004,16
2005,12
2006,18
2007,19
2008,15
2009,25
2010,15
2011,18
2012,13
2013,19
2014,23
2015,22
2016,27
2017,30
2018,34
2019,27
2020,42
2021,57
2022,45
